*PRIME HOOK NWR     70301   38.800  -75.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
*MOTT ISLAND        200401  48.100  -88.500  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      86       86       75       86       93       92       93       -99      -99      -99      
Min Temp (F)          -99      35       36       39       40       40       39       41       -99      -99      -99      
Min RH (%)            -99      0        70       59       65       82       86       89       -99      -99      -99      
Max Temp (F)          -99      42       44       45       46       46       46       47       -99      -99      -99      
WSpd (knt)            -99      7        12       19       20       11       9        10       -99      -99      -99      
BI                    -99      14       21       22       25       17       14       15       -99      -99      -99      
ERC                   -99      12       14       11       12       11       11       10       -99      -99      -99      
IC                    -99      5        9        1        2        1        1        1        -99      -99      -99      
10-hr fuel (%)        -99      12       11       17       16       17       18       18       -99      -99      -99      
100-hr fuel (%)       -99      17       16       16       16       17       18       19       -99      -99      -99      
1000-hr fuel (%)      -99      26       25       25       24       24       24       23       -99      -99      -99      


*WINDIGO            200403  47.900  -89.100  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      79       73       67       86       90       89       93       -99      -99      -99      
Min Temp (F)          -99      34       38       38       40       40       38       39       -99      -99      -99      
Min RH (%)            -99      0        29       22       43       68       71       71       -99      -99      -99      
Max Temp (F)          -99      64       70       66       49       50       51       52       -99      -99      -99      
WSpd (knt)            -99      10       9        11       13       6        7        7        -99      -99      -99      
BI                    -99      22       23       25       25       16       17       16       -99      -99      -99      
ERC                   -99      17       20       21       18       17       17       17       -99      -99      -99      
IC                    -99      23       24       15       5        3        3        3        -99      -99      -99      
10-hr fuel (%)        -99      6        6        8        12       13       13       14       -99      -99      -99      
100-hr fuel (%)       -99      14       12       11       11       13       14       15       -99      -99      -99      
1000-hr fuel (%)      -99      26       25       25       24       24       23       23       -99      -99      -99      


*OJIBWAY            200405  48.100  -88.500  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      86       86       75       86       93       92       93       -99      -99      -99      
Min Temp (F)          -99      35       36       39       40       40       39       41       -99      -99      -99      
Min RH (%)            -99      0        70       59       65       82       86       89       -99      -99      -99      
Max Temp (F)          -99      42       44       45       46       46       46       47       -99      -99      -99      
WSpd (knt)            -99      7        12       19       20       11       9        10       -99      -99      -99      
BI                    -99      14       21       22       25       17       14       15       -99      -99      -99      
ERC                   -99      12       14       11       12       11       11       10       -99      -99      -99      
IC                    -99      5        9        1        2        1        1        1        -99      -99      -99      
10-hr fuel (%)        -99      12       11       17       16       17       18       18       -99      -99      -99      
100-hr fuel (%)       -99      17       16       16       16       17       18       19       -99      -99      -99      
1000-hr fuel (%)      -99      26       25       25       24       24       24       23       -99      -99      -99      


*GWINN              200703  46.200  -87.400  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      82       76       69       74       84       83       84       -99      -99      -99      
Min Temp (F)          -99      34       35       38       46       52       53       55       -99      -99      -99      
Min RH (%)            -99      0        26       17       32       50       51       55       -99      -99      -99      
Max Temp (F)          -99      68       65       64       66       72       74       77       -99      -99      -99      
WSpd (knt)            -99      9        8        12       17       9        7        11       -99      -99      -99      
BI                    -99      28       30       36       40       29       25       37       -99      -99      -99      
ERC                   -99      28       32       31       30       31       30       34       -99      -99      -99      
IC                    -99      23       30       17       12       10       8        20       -99      -99      -99      
10-hr fuel (%)        -99      6        5        8        10       9        10       8        -99      -99      -99      
100-hr fuel (%)       -99      14       12       11       11       12       12       12       -99      -99      -99      
1000-hr fuel (%)      -99      20       20       19       19       19       18       18       -99      -99      -99      


*RANDVILLE          200802  46.000  -88.000  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      79       76       72       80       84       83       84       -99      -99      -99      
Min Temp (F)          -99      34       36       38       47       53       54       57       -99      -99      -99      
Min RH (%)            -99      0        25       17       36       56       52       55       -99      -99      -99      
Max Temp (F)          -99      69       64       65       66       74       77       79       -99      -99      -99      
WSpd (knt)            -99      7        8        11       15       7        6        10       -99      -99      -99      
BI                    -99      23       28       32       35       24       23       32       -99      -99      -99      
